Bestandsnaam,Grootte,Aantal kopieën,Paden
VID-20181101-WA0022.mp4,4.37 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181111-WA0003.mp4,4.31 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181126-WA0001.mp4,4.25 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
20190609_202710.mp4,4.15 MB,2,/onbekend/Google Photo's | /onbekend/Google Photo's/Videos
VID-20190203-WA0006.mp4,4.14 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181011-WA0001.mp4,4.11 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181031-WA0005.mp4,4.07 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181118-WA0002.mp4,4.07 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181117-WA0025.mp4,4.07 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
20180717_225954.jpg,3.86 MB,2,/onbekend/Google Photo's/07 | /onbekend/Google Photo's
VID-20180730-WA0009.mp4,3.86 MB,2,/onbekend/Google Photo's | /onbekend/Google Photo's/Videos
VID-20190109-WA0000.mp4,3.85 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181126-WA0003.mp4,3.83 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181013-WA0019.mp4,3.81 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20190207-WA0009.mp4,3.78 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181117-WA0023.mp4,3.77 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181222-WA0024.mp4,3.68 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
IMG-20160812-WA0001.jpg,3.67 MB,2,/onbekend/Google Photo's | /onbekend/Google Photo's
AUD-20200519-WA0028.m4a,3.65 MB,2,/onbekend/internal card 2/WhatsApp/Media/WhatsApp Audio | /onbekend
VID-20190220-WA0020.mp4,3.65 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
